#	Reference	Value	OEPSPN	MPN	Description	Footprint
1	USB0	USB_MICRO_B	OEPS070117	ZX62D-B-5PA8(30)	USB 2.0 MICRO B R/A  DigiKey H125718CT-ND	FED3_PCBLib:ZX62D-B-5P8
2	SW2	SPST_TACT-KMR2	OEPS100061	TL3305BF260QG	SWITCH TACTILE SPST-NO 0.05A 12V	Button_Switch_SMD:SW_SPST_TL3305B
3	IC2	TB6612FNG	OEPS080166	TB6612FNG,C,8,EL 	MOTOR DRIVER 2.7V-5.5V (OEPS K01 002)	FED3_PCBLib:SSOP24
4	SW1	Sw	OEPS100064	SSSS811101 	SWITCH SLIDE SPDT 0.3A 5V (OEPS K01 017)	FED3_PCBLib:SSSS811101
5	LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10	RGBLed	OEPS080164	SK6812RGBW-BW	RGB Neopixel addressable 5mmx5mm (OEPS K01 012A)	FED3_PCBLib:WS2812B
6	R9	34k	OEPS020044	RT0402BRD0734KL	SMD 0402 34kΩ ±0.1% 0.063W	Resistor_SMD:R_0402_1005Metric
7	R11,R16,R17	100k 0.1%	OEPS020175	RG1005P-104-B-T5	SMD 0402 100kΩ ±0.1% 0.063W	Resistor_SMD:R_0402_1005Metric
8	R12	330R	OEPS020037	RC0402FR-07330RL	SMD 0402 330Ω ±1% 0.063W	Resistor_SMD:R_0402_1005Metric
9	BZ1	Buzzer	OEPS100062	PS1240P02BT	BUZZER PIEZO 3V 12.2MM (OEPS K01 014)	FED3_PCBLib:Buzzer
10	J1	Conn_02x03_Odd_Even	OEPS070124	PR20203VBDN	HEADER 2.54MM straight 2x3POS	Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical
11	IC4	RTC PCF8523T	OEPS080167	PCF8523T/1,118	RTC CLOCK/CALENDAR I2C	Package_SO:SO-8_3.9x4.9mm_P1.27mm
12	MOTOR0	PINHD-1X5	n.a.	n.a.	Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)	FED3_PCBLib:1X05
13	U2	MIC5504-3.3	OEPS080052	MIC5504-3.3YM5-TR	LDO 3.3V 300mA	Package_TO_SOT_SMD:SOT-23-5
14	U3	MCP73831T	OEPS080157	MCP73831T-2ACI/OT	BATT CNTL LI-ION 1CEL	Package_TO_SOT_SMD:SOT-23-5
15	IC1	MC74VHC1GT125	OEPS080169	MC74VHC1GT125DBVT1G	DC DC CONVERTER Boost/Inverter 2output ±40V 1.3A	Package_TO_SOT_SMD:SOT-23-5
